Ciudad,Estado,Latitud,Longitud
Milesburgh,Pennsylvania,40.7128,-77.409
South Timothyberg,Pennsylvania,40.683,-75.2424
East Leah,Pennsylvania,40.0,-76.5
Valerietown,California,36.7783,-119.4179
Larrychester,California,34.0522,-118.2437
North Thomastown,California,37.7749,-122.4194
East Janicemouth,Texas,29.7604,-95.3698
Vasquezborough,Texas,31.9686,-99.9018
Nguyenshire,Texas,32.7767,-96.797
East Brittany,Florida,27.9944,-81.7603
Kevinton,Florida,28.5383,-81.3792
Briannaport,Florida,25.7617,-80.1918
Lake Juan,New York,40.7128,-74.006
Lindaport,New York,43.2994,-74.2179
Port Kelly,New York,42.6526,-73.7562
Jodichester,Illinois,41.8781,-87.6298
North Brittney,Illinois,40.6331,-89.3985
East Josephland,Illinois,39.733,-89.5902
Andrewside,Ohio,39.9612,-82.9988
New Reginaldmouth,Ohio,41.4993,-81.6944
East Jonathan,Ohio,39.7589,-84.1916
Susanton,Georgia,33.7488,-84.388
Brendanberg,Georgia,32.0835,-81.0998
South Thomas,Georgia,34.0315,-83.6431
Courtneymouth,Arizona,33.4484,-112.074
West Charles,Arizona,34.0489,-111.0937
North Jasmine,Arizona,35.1983,-111.6513
Trujillofort,Washington,47.7511,-120.7401
Jessechester,Washington,47.6062,-122.3321
Port Alexachester,Washington,48.7519,-122.4787
